Price,Address,Beds,Baths,Sqft,URL
$379999,579 Primrose Hill Ave Las Vegas NV 89178,3,2.5,1297,https://www.redfin.com/NV/Las-Vegas/579-Primrose-Hill-Ave-89178/home/29489754
$335000,2790 Canonero St Las Vegas NV 89142,3,2.5,1321,https://www.redfin.com/NV/Las-Vegas/2790-Canonero-St-89142/home/29282002
$365000,1989 Bookbinder Dr Las Vegas NV 89108,3,2.5,1755,https://www.redfin.com/NV/Las-Vegas/1989-Bookbinder-Dr-89108/home/29172084
$310000,1368 S Christy Ln Las Vegas NV 89142,3,2,1090,https://www.redfin.com/NV/Las-Vegas/1368-S-Christy-Ln-89142/home/181492533
$349999,3540 Chelsea Grove St Las Vegas NV 89122,3,3,1589,https://www.redfin.com/NV/Las-Vegas/3540-Chelsea-Grove-St-89122/home/29028949
$379999,1008 Norman Ave Las Vegas NV 89104,3,2,1278,https://www.redfin.com/NV/Las-Vegas/1008-Norman-Ave-89104/home/29455757
$312000,1204 Madison Ave Las Vegas NV 89106,3,2,1443,https://www.redfin.com/NV/Las-Vegas/1204-Madison-Ave-89106/home/29338660
$314000,5501 Blackthorn Dr Las Vegas NV 89142,3,2.5,1900,https://www.redfin.com/NV/Las-Vegas/5501-Blackthorn-Dr-89142/home/29406203
$365000,3861 Saint Luke Ct Las Vegas NV 89104,3,3,1407,https://www.redfin.com/NV/Las-Vegas/3861-St-Luke-Ct-89104/home/29411241
$319900,3040 Holly Hill Ave Las Vegas NV 89104,3,2,1518,https://www.redfin.com/NV/Las-Vegas/3040-Holly-Hill-Ave-89104/home/29451835
$350000,5126 Longiano Pl Las Vegas NV 89156,3,2.5,1680,https://www.redfin.com/NV/Las-Vegas/5126-Longiano-Pl-89156/home/144615640
$349999,4529 Metpark Dr Las Vegas NV 89110,3,3,1396,https://www.redfin.com/NV/Las-Vegas/4529-Metpark-Dr-89110/home/29389369
$359900,6305 Spanish Moss Ave Las Vegas NV 89108,3,2,1373,https://www.redfin.com/NV/Las-Vegas/6305-Spanish-Moss-Ave-89108/home/29195130
$369000,6251 Anticline Ave Las Vegas NV 89139,3,2.5,1230,https://www.redfin.com/NV/Las-Vegas/6251-Anticline-Ave-89139/home/29035503
$324900,2078 William Holden Ct Las Vegas NV 89142,3,2.5,1435,https://www.redfin.com/NV/Las-Vegas/2078-William-Holden-Ct-89142/home/29864801
$340000,305 Flaxen Cir Las Vegas NV 89107,3,2,1246,https://www.redfin.com/NV/Las-Vegas/305-Flaxen-Cir-89107/home/29339556
$332900,3664 Moonlit Beach Ave Las Vegas NV 89115,3,2.5,1435,https://www.redfin.com/NV/Las-Vegas/3664-Moonlit-Beach-Ave-89115/home/29932201
$349500,6104 Fawn Cir Las Vegas NV 89107,3,2,1274,https://www.redfin.com/NV/Las-Vegas/6104-Fawn-Cir-89107/home/29197124
$359995,2857 San Lago Ct Las Vegas NV 89121,3,2,2118,https://www.redfin.com/NV/Las-Vegas/2857-San-Lago-Ct-89121/home/29473240
$335000,4980 Droubay Dr Las Vegas NV 89122,3,2,1183,https://www.redfin.com/NV/Las-Vegas/4980-Droubay-Dr-89122/home/29827766
$355000,4547 Cotton Quail Ave Ave Las Vegas NV 89115,3,2,1542,https://www.redfin.com/NV/Las-Vegas/4547-Cotton-Quail-Ave-89115/home/148024407
N/A,N/A,N/A,N/A,N/A,N/A
$350000,6597 Clover Wood Ln Las Vegas NV 89156,3,2,1306,https://www.redfin.com/NV/Las-Vegas/6597-Clover-Wood-Ln-89156/home/29371306
$289000,1012 White Pine Way Las Vegas NV 89108,3,2,1415,https://www.redfin.com/NV/Las-Vegas/1012-White-Pine-Way-89108/home/29190281
$348888,6394 Cranberry Ln Las Vegas NV 89156,3,2,1316,https://www.redfin.com/NV/Las-Vegas/6394-Cranberry-Ln-89156/home/29371389
$345000,4521 Providence Ln Las Vegas NV 89107,3,2,1772,https://www.redfin.com/NV/Las-Vegas/4521-Providence-Ln-89107/home/29343080
$350000,929 Spruce Cir Las Vegas NV 89106,3,2,1743,https://www.redfin.com/NV/Las-Vegas/929-Spruce-Cir-89106/home/29340261
$357000,125 Zia St Las Vegas NV 89145,3,2,1358,https://www.redfin.com/NV/Las-Vegas/125-Zia-St-89145/home/29224459
$324900,4830 Double Down Dr #103 Las Vegas NV 89122,3,2.5,1685,https://www.redfin.com/NV/Las-Vegas/4830-Double-Down-Dr-89122/unit-103/home/29482298
N/A,N/A,N/A,N/A,N/A,N/A
$350000,7217 Nook Crest Ct Las Vegas NV 89129,3,2.5,1292,https://www.redfin.com/NV/Las-Vegas/7217-Nook-Crest-Ct-89129/home/28986713
$334500,5523 Leaning Oak Ave Las Vegas NV 89118,3,2.5,1431,https://www.redfin.com/NV/Las-Vegas/5523-Leaning-Oak-Ave-89118/home/29578176
$309000,4438 Faberge Ave Las Vegas NV 89115,3,2,1090,https://www.redfin.com/NV/Las-Vegas/4438-Faberge-Ave-89115/home/29357684
$365000,650 Summer Heights Ln Las Vegas NV 89110,3,2.5,1393,https://www.redfin.com/NV/Las-Vegas/650-Summer-Heights-Ln-89110/home/29393862
$375000,8624 Spruce Lake Cir Las Vegas NV 89117,3,2,1288,https://www.redfin.com/NV/Las-Vegas/8624-Spruce-Lake-Cir-89117/home/29534441
$379999,4986 Miners Ridge Dr Las Vegas NV 89122,3,2.5,1540,https://www.redfin.com/NV/Las-Vegas/4986-Miners-Ridge-Dr-89122/home/29827591
$370000,3437 Canter Dr North Las Vegas NV 89032,3,2,1270,https://www.redfin.com/NV/North-Las-Vegas/3437-Canter-Dr-89032/home/29246264
$380000,7321 Jockey Ave Las Vegas NV 89130,3,2,1306,https://www.redfin.com/NV/Las-Vegas/7321-Jockey-Ave-89130/home/29094861
$285000,3445 Del Marino Dr Las Vegas NV 89121,3,2.5,1792,https://www.redfin.com/NV/Las-Vegas/3445-Del-Marino-Dr-89121/home/29411855
N/A,N/A,N/A,N/A,N/A,N/A
